base_price,discounted_price,product_name,category,brand,description
"13,15","10,52",Soin colorant 020 - 100% Sahara - 100g,beaute-hygiene,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"13,15","10,52",Soin colorant 070 - 100% Marron - 100g,beaute-hygiene,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"11,29","8,22",Lait autobronzant corps - 150ml,beaute-hygiene,par Lavera,"Prix au litre : 54,8€/litreProtégez-vous du soleil naturellement avec le Lait après-soleil de Lavera!Il confère à la peau un soin intensif et équilibrant après le bain de soleil. Il prend soin de la peau grâce aux huiles bio de soja, de graines de tournesol, de noix de coco et au beurre de karité, qui le compose.Du gel"
"13,15","10,52",Soin colorant 101 - 100% Noir Intense - 100g,beaute-hygiene,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"10,90","8,72",Shampoing Hydratant à l'Aloé vera - 250ml,beaute-hygiene,par Logona,"Prix au litre : 34,9€/litreAdapté aux cheveux agressés et sur-sollicités ce shampooing soin à l’aloès leur redonne souplesse et douceur tout en protégeant la tige capillaire. Hydratés et protégés, les cheveux sont souples et irrésistiblement doux au toucher.Ingrédients actifs : Jus d’aloe vera (hydrate et nourrit inten"
"10,60","8,48",Shampoing à la Caféine - Age Energy - 250ml,beaute-hygiene,par Logona,"Prix au litre : 33,9€/litreUne formule enrichie en aloe vera bio, en grenade bio et en huile de graines de bardane bio, qui apportent un soin supplémentaire et stimulent la repousse des cheveux fins et clairsemés.Actifs : . Extrait de feuilles de bambou : Riche en silice, le bambou apporte des minéraux aux cheveux pour"
"10,60","8,48",Shampoing Purifiant à la Mélisse - 250ml,beaute-hygiene,par Logona,"Prix au litre : 33,9€/litreCe shampoing normalisant est destiné aux cheveux gras. A base de bétaïne végétale, de protéine de soie, de son de blé et de mélisse bio, il normalise la sécrétion de sébum. Avec les meilleures bases lavantes existantes obtenues après plus de 2 ans de recherche, les nouvelles formules des sham"
"11,80","9,44",Après-shampoing aux protéines de blé - 200mL,beaute-hygiene,par Logona,"Prix au litre : 47,2€/litreL'après-shampooing aux protéines de blé est le soin quotidien de vos cheveux. Il les lisse, les fait briller, et facilite leur démêlage sans les alourdir. Votre chevelure retrouve son mouvement naturel. Le complexe de soins phyto-cosmétique de l'après-shampooing aux protéines de blé vitalise "
"8,29","5,87",Lait après-soleil - 200ml,beaute-hygiene,par Lavera,"Prix au litre : 39,1€/litreProtégez-vous du soleil naturellement avec le Lait après-soleil de Lavera!Il confère à la peau un soin intensif et équilibrant après le bain de soleil. Il prend soin de la peau grâce aux huiles bio de soja, de graines de tournesol, de noix de coco et au beurre de karité, qui le compose.Du gel"
"9,80","7,84",Shampoing Brillance à l'Ortie - 250ml,beaute-hygiene,par Logona,"Prix au litre : 31,4€/litre Le shampooing brillance à l'ortie de Logona est destiné à tous types de cheveux. A base d'ortie bio, d'extrait de son de blé et de glycérine végétale, il procurera brillance et vitalité aux cheveux de toute la famille. Avec les meilleures bases lavantes existantes obtenues après plus de 2 an"
"13,15","10,52",Soin colorant 050 - 100% Acajou - 100g,beaute-hygiene,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"13,15","10,52",Soin colorant 060 - 100% Noisette cuivrée - 100g,beaute-hygiene,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"5,29","3,69",Shampoing Protection Couleur et Soin - 250ml,vegan,par Lavera,"Prix au litre : 14,8€/litre Découvrez le Shampooing protection couleur &amp; soin : Une formule qui apporte des nutriments aux cheveux et qui les lave de manière naturelle pour protéger leur couleur tout en les régénérant. Les produits de la ligne Protection de la couleur &amp; Soin ont été enrichis de cranberry bio et"
"11,50","8,53",Crème réparatrice 70% Aloé Véra bio équitable - 150ml,vegan,par Pur'Aloé,"Rien de mieux que l’aloé vera pour réparer les différents problèmes de peau, tels que les plaies superficielles, les rougeurs, les irritations, la sécheresse, les gerçures... C'est un remède connu depuis des millénaires"
